port_locode,country_code,location_code,port_name,function,status,coordinates
DETKD,DE,TKD,Treis-Karden,123-----,RL,5011N 00718E
DETLB,DE,TLB,Strehla/Elbe,1-3-----,RL,5121N 01313E
DETLD,DE,TLD,Bresteland,1-------,RL,
DETLT,DE,TLT,Teltow,123-----,RL,5224N 01316E
DETMH,DE,TMH,Torfmoorhölle,1-3-----,AF,5006N 01149E
DETMM,DE,TMM,Temmels,123-----,RL,4941N 00628E
DETNR,DE,TNR,Wittenberge,123-----,RL,5301N 01145E
DETOE,DE,TOE,Tönning,1-------,AF,
DETOS,DE,TOS,Tossens,1-3-----,AF,5334N 00817E
DETOY,DE,TOY,Tholey,1-------,RL,
DETRD,DE,TRD,Osterrönfeld,123-----,RL,5417N 00942E
DETRF,DE,TRF,Trochtelfingen,1-3-----,RL,
DETRH,DE,TRH,Trechtingshausen,123-----,RL,5000N 00750E
DETRI,DE,TRI,Trier,123-5---,AF,
DETRT,DE,TRT,Traben-Trarbach,123-----,AF,
DETRV,DE,TRV,Travemünde,123-----,AF,
DETSH,DE,TSH,Albertshofen,123-----,RL,
DETSU,DE,TSU,Tiessau,1-3-----,RL,5311N 01059E
DETTP,DE,TTP,Platten,1----6--,RL,4957N 00658E
DETTR,DE,TTR,Wettringen,1-------,RL,
DETWZ,DE,TWZ,Thallwitz,123-----,RL,5126N 01240E
DETYN,DE,TYN,Thurnau,1-------,RL,
DEUBG,DE,UBG,Bad Dürrenberg,123-----,RL,5117N 01203E
DEUBT,DE,UBT,Laubegast,1-3-----,RL,5102N 01350E
DEUCK,DE,UCK,Ueckermünde,123-----,AF,5344N 01403E
DEUDF,DE,UDF,Braunsdorf,1-3-----,RL,5222N 01357E
DEUEB,DE,UEB,Überlingen,123-----,AF,
DEUEL,DE,UEL,Uelzen,123-----,AF,5258N 01033E
DEUES,DE,UES,Uesen,123-----,RL,5300N 00904E
DEUET,DE,UET,Uetersen,123-----,AF,
DEUH7,DE,UH7,Udenheim,1----6--,RL,4952N 00810E
DEUHF,DE,UHF,Suhrendorf,1-3-----,RL,5428N 01308E
DEUKI,DE,UKI,Neukieritzsch,1----6--,RL,5110N 01226E
DEULM,DE,ULM,Ulm,123-----,AF,4824N 01000E
DEULS,DE,ULS,Mulsen,1----6--,RL,5045N 01234E
DEUND,DE,UND,Gmund am Tegernsee,123-----,RL,4745N 01144E
DEUPS,DE,UPS,Upschört,1-3-----,RL,5328N 00744E
DEURR,DE,URR,Burladingen,1----6--,RL,4817N 00907E
DEUSD,DE,USD,Usedom,1-3-----,RL,5352N 01355E
DEUSF,DE,USF,Büdelsdorf,123-----,RL,5418N 00939E
DEUTA,DE,UTA,Lauta,1----6--,RL,5040N 01309E
DEUTT,DE,UTT,Schuttertal,1-3-----,RL,4816N 00758E
DEV44,DE,V44,Vinn,1-3-----,RL,5126N 00638E
DEVAR,DE,VAR,Varel,123-----,AF,5324N 00808E
DEVBS,DE,VBS,Vilsbiburg,123-----,RL,4827N 01221E
DEVEJ,DE,VEJ,Vetschau,123-----,RL,5147N 01405E
DEVEN,DE,VEN,Venne,1-3-----,AF,5224N 00810E
DEVGF,DE,VGF,Vilgertshofen,1-3-----,RL,4757N 01055E
DEVIU,DE,VIU,Vienenburg,1----6--,RL,5157N 01034E
DEVIW,DE,VIW,Vierow,1-------,RL,5418N 01347E
DEVNA,DE,VNA,Venhaus,1-3-----,RL,5221N 00727E
DEVOC,DE,VOC,Vockfey,1-3-----,RL,5314N 01056E
DEVOE,DE,VOE,Völklingen,123-----,AF,
DEVOL,DE,VOL,Volkach,123-----,RL,4952N 01014E
DEVRD,DE,VRD,Voerde,123-----,AF,
DEVRW,DE,VRW,Viewrow,1-------,RL,5407N 01335E
DEVTT,DE,VTT,Vitte (Hiddensee),1-------,RL,5434N 01306E
DEVTZ,DE,VTZ,Vielitz,1-3-----,RL,5256N 01300E
DEVVH,DE,VVH,Hohn,1----6--,RL,5037N 00759E
DEWAC,DE,WAC,Westeraccumersiel,1-3-----,AF,5340N 00729E
DEWAR,DE,WAR,Warnemünde,123-----,AF,5410N 01205E
DEWAZ,DE,WAZ,Wabern,123-----,RL,5106N 00920E
DEWB2,DE,WB2,Willmersdorf,1----6--,RL,5240N 01341E
DEWE5,DE,WE5,Wester-Ohrstedt,1-3-----,RL,5431N 00911E
DEWED,DE,WED,Wedel,123-----,AF,
DEWEE,DE,WEE,Weener,123-----,AF,5310N 00721E
DEWES,DE,WES,Wesel,123-----,AF,5140N 00637E
DEWEW,DE,WEW,Wewelsfleth,1-3-----,AF,
DEWFA,DE,WFA,Wutha-Farnroda,1-------,RL,
DEWGQ,DE,WGQ,Wehingen,1----6--,RL,4809N 00848E
DEWHP,DE,WHP,Wipperdorf,1----6--,RL,5127N 01040E
DEWIB,DE,WIB,Wiesbaden,1234----,AF,
DEWIE,DE,WIE,Wiesens,1-3-----,AF,5327N 00735E
DEWIF,DE,WIF,Wischhafen,1-3-----,AF,5347N 00919E
DEWIH,DE,WIH,Wisch,1-3-----,AF,
DEWIK,DE,WIK,Wiek,1-3-----,AF,
DEWIL,DE,WIL,Wilster,123-----,AF,
DEWIM,DE,WIM,Wimmer,1-3-----,AF,5220N 00826E
DEWIS,DE,WIS,Wismar,123-----,AF,
DEWIT,DE,WIT,Wittlage,1-3-----,AF,5219N 00822E
DEWKE,DE,WKE,Wankendorf,123-----,RL,5407N 01012E
DEWKK,DE,WKK,Weikersheim,123-----,RL,4929N 00954E
DEWKZ,DE,WKZ,Wickrath,1----6--,RL,5108N 00625E
DEWLE,DE,WLE,Walheim,123-----,RL,4901N 00909E
DEWLM,DE,WLM,Walsum,123-----,AI,5132N 00642E
DEWMM,DE,WMM,Wemmetsweiler,123-----,RL,4922N 00705E
DEWNG,DE,WNG,Weissenburg in Bayern,123--6--,RL,4902N 01058E
DEWNH,DE,WNH,Windheim,123-----,RL,5224N 00901E
DEWNI,DE,WNI,Winnweiler,123--6--,RL,4934N 00751E
DEWNL,DE,WNL,Wandersleben,123-----,RL,5054N 01051E
DEWNT,DE,WNT,Wedlenstedt,1-3-----,RL,5215N 01024W
DEWNU,DE,WNU,Weissenthurm,123-----,RL,5025N 00727E
DEWOB,DE,WOB,Wolfsburg,123-----,AF,5226N 01048E
DEWOE,DE,WOE,Wörth am Rhein,123-----,AF,
DEWOG,DE,WOG,Worringen,123-----,RL,5103N 00651E
DEWOL,DE,WOL,Wolgast,123-----,AF,
DEWOR,DE,WOR,Worms,123-----,AF,
DEWRI,DE,WRI,Wrist,123-----,RL,5356N 00945E
DEWRY,DE,WRY,Wremen,1-------,RL,
DEWTA,DE,WTA,Wörth an der Donau,1-3-----,RL,4900N 01224E
DEWTG,DE,WTG,Wittenberg,123-----,AF,
DEWTM,DE,WTM,Wertheim,123-----,AF,
DEWTP,DE,WTP,Waltrop,123-----,RL,5138N 00724E
DEWTU,DE,WTU,Wittichenau,123-----,RL,5123N 01415E
DEWUE,DE,WUE,Würzburg,123-----,AF,
DEWVN,DE,WVN,Wilhelmshaven,1234----,AF,5331N 00808E
DEWWH,DE,WWH,Windsbach,1-------,RL,4915N 01049E
DEWWI,DE,WWI,Weilerswist,123-----,RL,5046N 00650E
DEWYK,DE,WYK,Wyk auf Föhr,1-3-----,AF,
DEXAX,DE,XAX,Euerfeld,1-3-----,RL,4949N 01007E
DEXFW,DE,XFW,Finkenwerder,1-34----,AF,5332N 00951E
DEXMP,DE,XMP,Monheim,1-3-----,RL,4850N 01050E
DEXRT,DE,XRT,Herbertingen,1----6--,RL,4804N 00926E
DEXXX,DE,XXX,RIS Inland waterways,1-------,AI,
DEXZS,DE,XZS,Handeloh,1----6--,RL,5315N 00950E
DEYSF,DE,YSF,Seifhennersdorf,123-----,RL,5056N 01436E
DEYWX,DE,YWX,Waxweiler,1-3-----,RL,5006N 00622E
DEZ4Z,DE,Z4Z,Michelbach am Heuchelberg,1-3-----,RL,4904N 00856E
DEZAI,DE,ZAI,Zaisertshofen,1-------,RL,
DEZB4,DE,ZB4,Sulzberg,1-------,RL,4740N 01021E
DEZH8,DE,ZH8,Zehren,1-3-----,RL,5112N 01324E
DEZHA,DE,ZHA,Zahna,123--6--,RL,5155N 01247E
DEZHD,DE,ZHD,Zehdenick,123-----,RL,5258N 01319E
DEZIN,DE,ZIN,Zinnowitz,123-----,RL,5404N 01354E
DEZIS,DE,ZIS,Zingst,1-3-----,RL,5426N 01241E
DEZIZ,DE,ZIZ,Zaisenhausen,1----6--,RL,4906N 00849E
DEZLT,DE,ZLT,Zeltingen-Rachtig,1-3-----,AF,
DEZMU,DE,ZMU,Salzmünde,1-3-----,RL,5132N 01150E
DEZOR,DE,ZOR,Zorge,1-3-----,RL,
DEZRH,DE,ZRH,Zechlinerhütte,1-3-----,RL,5309N 01253E
DEZTH,DE,ZTH,Zeuthen,123-----,RL,5221N 01338E
DEZVE,DE,ZVE,Ihrlerstein,1----6--,RL,4856N 11520E
DEZZH,DE,ZZH,Zuzenhausen,123-----,RL,4917N 00849E
DEZZL,DE,ZZL,Zellertal,1-3-----,RL,4938N 00808E
DJDCT,DJ,DCT,Doraleh Container Terminal,1-3-----,RL,1136N 04396E
DJDMJ,DJ,DMJ,Damerjog,1-3-----,RL,1129N 04311E
DJJIB,DJ,JIB,Djibouti,1--45---,AI,
DJPOD,DJ,POD,Djibouti,123-----,RL,1135N 04308E
DKAAB,DK,AAB,Åbenrå,1-3-----,AF,5502N 00926E
DKAAL,DK,AAL,Aalborg,12345---,AF,
DKAAR,DK,AAR,Aarhus,12345---,AF,5609N 01013E
DKAGE,DK,AGE,Allinge,1-3-----,RL,5516N 01448E
DKAGH,DK,AGH,Agger Havn,1-3-----,AF,
DKAGO,DK,AGO,Agersø,1-------,AI,
DKAK3,DK,AK3,Åkirkeby,1-3-----,RL,5504N 01456E
DKANH,DK,ANH,Anholt,1-------,AI,
DKARD,DK,ARD,Årosund,1-------,AI,5515N 00943E
DKARK,DK,ARK,Ærøskøbing,1-------,RL,
DKARO,DK,ARO,Åro,1-------,AI,5516N 00945E
DKASA,DK,ASA,Asaa,1-3-----,RL,5709N 01025E
DKASH,DK,ASH,Aggersund,1-------,RL,
DKASK,DK,ASK,Askø,1-------,AI,
DKASN,DK,ASN,Assens,12------,AF,
DKASV,DK,ASV,Asnæsværkets Havn,1-------,AI,
DKAUB,DK,AUB,Augustenborg,1-------,AI,
DKAVE,DK,AVE,Avedøreværkets Havn,1-------,RL,
DKAVK,DK,AVK,Avernak By,1-------,AI,5502N 01016E
DKAVN,DK,AVN,Avernakke Havn,1-------,RL,5518N 01047E
DKBAG,DK,BAG,Bagenkop,1-------,AI,
DKBAL,DK,BAL,Ballen,1-------,RL,5549N 01039E
DKBBG,DK,BBG,Bøvlingbjerg,1-3-----,RL,5626N 00812E
DKBDX,DK,BDX,Bandholm,1-------,AI,
DKBGO,DK,BGO,Baagø,1-------,AI,
DKBGZ,DK,BGZ,Bogense,1-3-----,RL,5534N 01005E
DKBLA,DK,BLA,Blavand,1----6--,RL,5533N 00808E
DKBLB,DK,BLB,Ballebro,1-------,AI,
DKBLU,DK,BLU,Baelum,1-3--6--,RL,5649N 01006E
DKBOG,DK,BOG,Bogo By,1-------,AI,5456N 01203E
DKBOS,DK,BOS,Bøjden,1-3-----,RL,5506N 01005E
DKBRB,DK,BRB,Brabrand,1-------,RL,
DKBRH,DK,BRH,Branden Havn,1-------,AI,
DKCPH,DK,CPH,København,12345---,AF,5540N 01235E
DKCSO,DK,CSO,Christiansø Havn,1-------,AA,5519N 01511E
DKDAN,DK,DAN,Cementfabriken Dania,1-------,AI,
DKDAS,DK,DAS,Dansk Salts Havn,1-------,RL,
DKDN6,DK,DN6,Dannemare,1-3-----,RL,5445N 01112E
DKDRA,DK,DRA,Dragør,1-------,RL,
DKDYS,DK,DYS,Dyssegard,1----6--,RL,5544N 01232E
DKEBJ,DK,EBJ,Esbjerg,1234----,AF,
DKEBT,DK,EBT,Ebeltoft,1-------,RL,
DKEDL,DK,EDL,Endelave,1-------,AI,
DKEGN,DK,EGN,Egense,1-------,AI,
DKEK4,DK,EK4,Eskilstrup,1-3-----,RL,5551N 01138E
DKEND,DK,END,Egernsund,1-3-----,AI,
DKENS,DK,ENS,Enstedværket Havn,1-------,AI,5501N 00926E
DKEOT,DK,EOT,Styrtom,1-------,RL,5501N 00926E
DKFAA,DK,FAA,Faaborg,1-------,RL,
DKFAK,DK,FAK,Fakse Ladeplads Havn,1-------,AI,
DKFDH,DK,FDH,Frederikshavn,12------,AF,
DKFDS,DK,FDS,Frederikssund,123-----,AF,5550N 01204E
DKFDV,DK,FDV,Frederiksværk,12------,AF,
DKFEJ,DK,FEJ,Fejø,1-------,AI,
DKFER,DK,FER,Ferritslev,1-3-----,RL,5518N 01035E
DKFGS,DK,FGS,Feggesund,1-------,AI,
DKFMO,DK,FMO,Femø,1-------,AI,
DKFRC,DK,FRC,Fredericia,12--5---,AF,
DKFRK,DK,FRK,Føvling,1-3-----,RL,5527N 00857E
DKFUH,DK,FUH,Fur,1-------,AI,
DKFYH,DK,FYH,Fynshav,1-3-----,AI,5458N 00958E
DKGDM,DK,GDM,Gudhjem,1-3-----,RL,5513N 01458E
DKGED,DK,GED,Gedser,12------,RL,
DKGFH,DK,GFH,Gulfhavn,1-------,AI,
DKGLY,DK,GLY,Glyngøre,1-------,RL,
DKGRA,DK,GRA,Gråsten,1-------,AI,
DKGRE,DK,GRE,Grenaa,123-----,AF,
DKGTS,DK,GTS,Glatved Strand,1-------,RL,5618N 10519E
DKHAD,DK,HAD,Haderslev,1-------,AI,
DKHAN,DK,HAN,Hanstholm,1-3-----,AI,
DKHAS,DK,HAS,Hals,1-------,AI,
DKHBA,DK,HBA,Humlebæk,123-----,RL,5558N 01231E
DKHBK,DK,HBK,Holbæk,1-------,AI,
DKHBO,DK,HBO,Hobro,1-------,AI,
DKHDH,DK,HDH,Hardeshøj,1-------,AI,
DKHEJ,DK,HEJ,Hejls,1-------,RL,5523N 00936E
DKHER,DK,HER,Herning,1-------,RL,
DKHHV,DK,HHV,Hammerhavn,1-------,RL,5517N 01445E
DKHIR,DK,HIR,Hirtshals,1-------,AI,
DKHJ3,DK,HJ3,Højby,1-3-----,RL,5520N 01027E
DKHJT,DK,HJT,Hjerting,1-3-----,RL,5531N 00822E
DKHLS,DK,HLS,Helsingør,12------,AF,
DKHNB,DK,HNB,Havneby,1-------,AI,
DKHOH,DK,HOH,Hou Havn,1-------,AI,
DKHOR,DK,HOR,Horsens,1-------,AI,
DKHSB,DK,HSB,Holstebro,1-------,RL,
DKHSL,DK,HSL,Hasle,1-------,AI,
DKHSU,DK,HSU,Hadsund,1-3-----,AI,5643N 01006E
DKHUN,DK,HUN,Hundested,123-----,AF,
DKHVA,DK,HVA,Hvalpsund,1-------,AI,
DKHVN,DK,HVN,Havnsø,1-------,AI,
DKHVS,DK,HVS,Hvide Sande,1-3-----,RL,5559N 00808E
DKHVT,DK,HVT,Hellebæk,1-3-----,RL,5604N 01234E
DKHWO,DK,HWO,Hov,1-------,RL,5555N 01015E
DKJEL,DK,JEL,Jelling,1-------,RL,5545N 00926E
DKJUE,DK,JUE,Juelsminde,1-------,AI,5542N 01001E
DKKAL,DK,KAL,Kalundborg,12------,AF,
DKKAR,DK,KAR,Karlslunde,1-3-----,RL,5534N 01213E
DKKBG,DK,KBG,Klintebjerg,1-3-----,RL,5529N 01027E
DKKBK,DK,KBK,Karrebæksminde,1-3-----,RL,5511N 01140E
DKKBY,DK,KBY,Kyndbyvaerkets Havn,1-------,AI,
DKKDM,DK,KDM,Kollund Mole,1-3-----,AA,5420N 00927E
DKKGL,DK,KGL,Kongsdal Harbour,1-------,RL,5642N 01004E
DKKHV,DK,KHV,Knudshoved,1-------,RL,
DKKII,DK,KII,Saint Kilian,1-------,RL,
DKKK4,DK,KK4,Åbybro,1-3-----,RL,5709N 00945E
DKKLH,DK,KLH,Klintholm Havn,1-------,AA,5757N 01228E
DKKLP,DK,KLP,Kleppen,1-3-----,AA,5632N 00835E
DKKOG,DK,KOG,Køge,12------,AF,
DKKOK,DK,KOK,Kolby Kås,1-------,AI,5548N 01033E
DKKOL,DK,KOL,Kolding,123-----,AF,
DKKON,DK,KON,Cementfabrikken Kongsdal Havn,1-------,AI,
DKKRA,DK,KRA,Kragenæs,1-------,AI,
DKKRR,DK,KRR,Korsør,12------,AF,
DKKT4,DK,KT4,Kettinge,1-3-----,RL,5442N 01145E
DKKTD,DK,KTD,Kerteminde,1-------,AI,
DKKTP,DK,KTP,Kastrup,1-------,AI,
DKKVR,DK,KVR,Kværndrup,1-------,RL,
DKLGR,DK,LGR,Løgstør,1-------,AI,
DKLHH,DK,LHH,Lindholm Havn,1-------,RL,5517N 01048E
DKLIN,DK,LIN,Lindø Havn,1-------,AI,
DKLOH,DK,LOH,Lohals,1-------,AI,
DKLUN,DK,LUN,Lundeborg,1-3-----,RL,5508N 01047E
DKLVG,DK,LVG,Lemvig,1-------,AI,
DKLYO,DK,LYO,Lyngs Odde Havn,1-------,AI,
DKMAS,DK,MAS,Masnedø,1-------,AI,
DKMID,DK,MID,Middelfart,12------,AF,
DKMKH,DK,MKH,Masnedovaerkets Havn/Vordingborg,1-3-----,RL,5458N 01153E
DKMNS,DK,MNS,Masnedsund,1-3-----,AA,5500N 01152E
DKMOM,DK,MOM,Mommark,1-------,AI,
DKMRB,DK,MRB,Marbæk Havn,1-------,AI,
DKMRR,DK,MRR,Mariager,123-----,RL,5639N 01000E
DKMRS,DK,MRS,Marstal,1-------,AI,
DKN3S,DK,N3S,Nykobing Sjaelland,1-3-----,RL,5555N 01140E
DKNAK,DK,NAK,Nakskov,12------,AF,
DKNBG,DK,NBG,Nyborg,12------,AF,
DKNDB,DK,NDB,"Nordby Havn, Fanø",1-------,AI,
DKNEX,DK,NEX,Neksø,1-------,AI,
DKNGB,DK,NGB,Nagbol,123-----,RL,5527N 00917E
DKNHN,DK,NHN,Nordhavn,1-------,RL,5542N 01236E
DKNR4,DK,NR4,Nyrup,1-3-----,RL,5536N 01140E
DKNRE,DK,NRE,Nørre Aaby,12------,AF,
DKNRS,DK,NRS,Nørresundby,12------,AF,
DKNSD,DK,NSD,Nørre Snede,1-3-----,RL,5557N 00923E
DKNTD,DK,NTD,Nysted,1-------,AI,
DKNUD,DK,NUD,Næssund,1-------,AI,
DKNVD,DK,NVD,Næstved,123--6--,AF,5514N 01146E
DKNYB,DK,NYB,Nyborg Lystbådehavn,1-------,RL,5518N 01047E
DKNYF,DK,NYF,Nykøbing Falster,123-----,AF,5446N 01153E
DKNYM,DK,NYM,Nykøbing Mors,1-3-----,AI,5647N 00851E
DKODE,DK,ODE,Odense,1234----,AF,
DKOMO,DK,OMO,Omø,1-------,AI,
DKOOT,DK,OOT,Charlottenlund,1-------,RL,
DKORE,DK,ORE,"Orehoved, Falster",1-------,AI,
DKORO,DK,ORO,Orø,1-------,AI,
DKOTB,DK,OTB,Østerby Havn,1-3-----,AS,5719N 01108E
DKRAN,DK,RAN,Randers,123-----,AF,
DKRD4,DK,RD4,Rude,1-3-----,RL,5600N 01014E
DKRDH,DK,RDH,Rødvig Havn,1-------,AA,5515N 01222E
DKRDK,DK,RDK,Rødekro,123-----,RL,5504N 00919E
DKRKB,DK,RKB,Rudkøbing,1-------,AI,
DKRKE,DK,RKE,Roskilde,1234----,AF,
DKRMO,DK,RMO,Romo,1-3-----,RL,5508N 00831E
DKRNN,DK,RNN,Rønne,1--4----,AI,
DKROD,DK,ROD,Rødbyhavn,123--6--,AA,5439N 01121E
DKROF,DK,ROF,Rødby,1-3-----,AI,5441N 01123E
DKROR,DK,ROR,Aalborg Portland Cementfabrikk,1-------,RL,
DKRRV,DK,RRV,Rørvig,1-------,AI,
DKRYS,DK,RYS,Ryslinge,1-------,RL,5515N 01033E
DKSAE,DK,SAE,Sæby,123-----,RL,5720N 01032E
DKSAX,DK,SAX,Sakskøbing,1-------,AI,
DKSB2,DK,SB2,Strøby,1-3-----,RL,5523N 01218E
DKSBK,DK,SBK,Stubbekøbing,1-------,AI,5453N 01203E
DKSD7,DK,SD7,Sandved,1-3-----,RL,5516N 01132E
DKSDA,DK,SDA,Sydals,1-3--6--,RL,5454N 00953E
DKSDO,DK,SDO,Skarø/Drejø,1-------,AI,
DKSEO,DK,SEO,Sejerø,1-------,AI,
DKSF2,DK,SF2,Store Fuglede,1-3-----,RL,5535N 01115E
DKSGD,DK,SGD,Sønderborg,1234----,AF,5454N 00947E
DKSH6,DK,SH6,Store Heddinge,1-3-----,RL,5519N 01225E
DKSIT,DK,SIT,Stigsnaes Inter Terminal,1-------,RL,5512N 01114E
DKSK3,DK,SK3,Skodsborg,1-3-----,RL,5549N 01234E
DKSKA,DK,SKA,Skagen,12------,AF,
DKSKH,DK,SKH,Skovshoved,1-------,RL,5546N 01236E
DKSKV,DK,SKV,Skive,12------,AF,
DKSL2,DK,SL2,Søllested,1-3-----,RL,5518N 01003E
DKSLB,DK,SLB,Silkeborg,123-----,AF,
DKSLV,DK,SLV,Sælvig Havn,1-------,AI,
DKSM6,DK,SM6,Store Merløse,1-3-----,RL,5533N 01143E
DKSN2,DK,SN2,Snertinge,1-3-----,RL,5504N 01155E
DKSN7,DK,SN7,Stensved,1-3-----,RL,5500N 01202E
DKSNE,DK,SNE,Snekkersten,1-------,AI,
DKSNO,DK,SNO,Strynø,1-------,AI,
DKSNY,DK,SNY,Sundby/Mors,1-3-----,RL,5652N 00840E
DKSOB,DK,SOB,Søby Havn,1-------,AI,
DKSPB,DK,SPB,Spodsbjerg Havn,1-------,AI,
DKSSK,DK,SSK,Skælskør,1-------,RL,
DKSSV,DK,SSV,Studstrupværkets Havn,1-------,AI,
DKSTA,DK,STA,Stavning,1--4----,AI,5558N 00823E
DKSTB,DK,STB,Strib Havn,1-------,AI,
DKSTE,DK,STE,Stege,1-------,AI,
DKSTG,DK,STG,Stignæsværkets Havn,1-------,AI,
DKSTN,DK,STN,Stigsnæs,1-------,AI,
DKSTP,DK,STP,Stevns Pier,1-------,RL,5519N 01227E
DKSTR,DK,STR,Struer,12------,AF,
DKSTT,DK,STT,Statoil-Havnen,1-------,AF,
DKSUE,DK,SUE,Sundsøre,1-------,AI,
DKSVA,DK,SVA,Svaneke,1-3-----,RL,5508N 01509E
DKSVE,DK,SVE,Svendborg,12------,AF,
DKSVG,DK,SVG,Sandvig,1-3-----,RL,5517N 01447E
DKSVV,DK,SVV,Stålvalseværket,1-------,AI,
DKTB4,DK,TB4,Toreby,1-3-----,RL,5445N 01148E
DKTED,DK,TED,Thisted,12-4----,AF,
DKTJL,DK,TJL,Tjele,1-------,RL,5630N 00936E
DKTKB,DK,TKB,Tikøb,1-3-----,RL,5601N 01228E
DKTMD,DK,TMD,Torsminde,1-3-----,RL,5622N 00807E
DKTN3,DK,TN3,Tune,1-3-----,RL,5536N 01211E
DKTNO,DK,TNO,Tunø,1-------,AI,
DKTRG,DK,TRG,Torrig,1-3-----,RL,5454N 01120E
DKTRO,DK,TRO,Troense,1-------,RL,5502N 01039E
DKTRS,DK,TRS,Tårs,1-------,AI,
DKTUB,DK,TUB,Tuborg,12------,AF,
DKTYB,DK,TYB,Tyborøn,12------,AF,
DKUNX,DK,UNX,Masnedsund Godningshamn,1-------,AI,5500N 01155E
DKVAE,DK,VAE,Vallensbæk,123-----,RL,5538N 01221E
DKVB2,DK,VB2,Vejby,1-3-----,RL,5604N 01209E
DKVBN,DK,VBN,Vordingborg Nordhavnen,1-------,AA,5500N 01155E
DKVBS,DK,VBS,Vordingborg Sydhavnen,1-------,AA,5459N 01153E
DKVEJ,DK,VEJ,Vejle,12------,AF,
DKVEN,DK,VEN,Venø Havn,1-------,AI,
DKVES,DK,VES,"Vesterø Havn, Læsø",1-------,AI,
DKVG4,DK,VG4,Væggerløse,1-3-----,RL,5442N 01156E
DKVK7,DK,VK7,Veksø,1-3-----,RL,5545N 01215E
DKVM2,DK,VM2,Vemmelev,1-3-----,RL,5522N 01116E
DKVNG,DK,VNG,Vang Havn,1-------,RL,
DKVOR,DK,VOR,Vordingborg,12------,AF,5500N 01154E
DKVRE,DK,VRE,Avedore,1-------,RL,
DKVSV,DK,VSV,Norjyllandsvarkets havn,1-------,AI,
DKVT2,DK,VT2,Vesterborg,1-3-----,RL,5451N 01117E
DMADM,DM,ADM,Anse du Mai,1-------,RL,1536N 06123W
DMBEL,DM,BEL,Belfast,1-------,RL,
DMPOR,DM,POR,Portsmouth,1-3-----,RL,1534N 06127W
DMRSU,DM,RSU,Roseau,1-------,AI,
DOAZU,DO,AZU,Azua,1-3--6--,RL,1827N 07044W
DOBAN,DO,BAN,Baní,1-3-----,RL,1817N 07020W
DOBAV,DO,BAV,Bavaro,1-------,RL,1843S 06827W
DOBCC,DO,BCC,Boca Chica,1-------,AI,
DOBQL,DO,BQL,Barcequillo,1-------,RL,1826N 07002W
DOBRX,DO,BRX,Barahona,1--4----,AI,
DOCAI,DO,CAI,Catalina Island,1-------,RL,1822N 06900W
DOCAL,DO,CAL,Cayo Levantado,1-------,RL,1912N 06919W
DOCAU,DO,CAU,Caucedo,1-3--6--,RL,1825N 06938W
DOCBJ,DO,CBJ,Cabo Rojo,1--4----,AI,
DOCDC,DO,CDC,Casa de Campo,1-------,RL,1824N 06854W
DOHAI,DO,HAI,Rio Haina,1-------,QQ,
DOHIG,DO,HIG,Higüey,1-------,RL,1827N 07016W
DOINA,DO,INA,Bajos de Haina,1-------,AS,1825N 07002W
DOLRM,DO,LRM,La Romana,1-------,AI,
DOMAN,DO,MAN,Manzanillo,123-----,RL,1942N 07145W
DOOCO,DO,OCO,Ocoa Bay,1-------,RL,1837N 07065W
DOPAL,DO,PAL,Puerto Palenque,1-3-----,RL,1814N 07009W
DOPDR,DO,PDR,Pedernales,1-------,AI,
DOPOP,DO,POP,Puerto Plata,1-------,AI,
DOPUO,DO,PUO,Puerto Libertador,1-------,QQ,
DOPVA,DO,PVA,Puerto Viejo de Azua,1-------,RL,1820N 07050W
DOSDQ,DO,SDQ,Santo Domingo,1-345---,AI,1828N 06954W
DOSFN,DO,SFN,San Francisco de Macorís,1-------,RL,1918N 07015W
DOSNX,DO,SNX,Sabana de la Mar,1--4----,AI,1904N 06923W
DOSNZ,DO,SNZ,Sánchez,123-----,RL,1914N 06937W
DOSPM,DO,SPM,San Pedro de Macorís,1-------,AI,1827N 06918W
DOSTI,DO,STI,Santiago de los Caballeros,1-3-----,RL,
DOVAL,DO,VAL,Villa Altagracia,1-3-----,RL,1840N 07010W
DZ2ON,DZ,2ON,Oran Dry Port,1----6--,RL,3541N 00038W
DZAAE,DZ,AAE,Annaba (ex Bone),1--4----,AI,
DZALG,DZ,ALG,Alger (Algiers),123456--,AI,3645N 00303E
DZAZW,DZ,AZW,Arzew,123-----,RL,3552N 00019W
DZBHA,DZ,BHA,Bethioua,1-------,RL,3548N 00016W
DZBIU,DZ,BIU,Bouinane,1-3-----,RL,
DZBJA,DZ,BJA,Bejaia (ex Bougie),1--4----,AI,
DZBSF,DZ,BSF,Benisaf,1-------,RL,3517N 00123W
DZBTA,DZ,BTA,Bethoula,1-------,AI,
DZCHE,DZ,CHE,Cherchell,1-3-----,RL,3636N 00212E
DZCOL,DZ,COL,Collo,1-3-----,RL,3701N 00633E
DZDEL,DZ,DEL,Dellys,1-3-----,RL,3655N 00353E
DZDJE,DZ,DJE,Djen-Djen,1-------,AI,
DZDJI,DZ,DJI,Jijel (ex Djidjelli),1-------,QQ,
DZGHA,DZ,GHA,Ghardaïa,1-34----,RL,3229N 00340E
DZGHZ,DZ,GHZ,Ghazaouet,123-----,RL,3506N 00151W
DZKHE,DZ,KHE,Kherrata,1-3-----,RL,3629N 00516E
