country_code,country_name,year,month,risk_month,conflict_index_real,governance_stability_score,governance_fragility_risk,sanctions_risk,trade_restriction_risk,geo_risk_score_real
AFG,Afghanistan,2016,12,2016-12-01,0.6642148039803704,0.05228071790586197,0.947719282094138,0.7,0.65,0.7401157421156828
AFG,Afghanistan,2017,1,2017-01-01,0.7862990468905862,0.04098512679610168,0.9590148732038983,0.7,0.65,0.7917733370572091
AFG,Afghanistan,2017,2,2017-02-01,0.7832892262329205,0.04098512679610168,0.9590148732038983,0.7,0.65,0.7905694087941428
AFG,Afghanistan,2017,3,2017-03-01,0.8157360943038019,0.04098512679610168,0.9590148732038983,0.7,0.65,0.8035481560224954
AFG,Afghanistan,2017,4,2017-04-01,0.8445808541295626,0.04098512679610168,0.9590148732038983,0.7,0.65,0.8150860599527997
AFG,Afghanistan,2017,5,2017-05-01,0.8296450115909801,0.04098512679610168,0.9590148732038983,0.7,0.65,0.8091117229373668
AFG,Afghanistan,2017,6,2017-06-01,0.7906839068121457,0.04098512679610168,0.9590148732038983,0.7,0.65,0.7935272810258329
AFG,Afghanistan,2017,7,2017-07-01,0.8599891197406592,0.04098512679610168,0.9590148732038983,0.7,0.65,0.8212493661972383
AFG,Afghanistan,2017,8,2017-08-01,0.8251688751154335,0.04098512679610168,0.9590148732038983,0.7,0.65,0.807321268347148
AFG,Afghanistan,2017,9,2017-09-01,0.831382528455402,0.04098512679610168,0.9590148732038983,0.7,0.65,0.8098067296831355
AFG,Afghanistan,2017,10,2017-10-01,0.8225001967100367,0.04098512679610168,0.9590148732038983,0.7,0.65,0.8062537969849893
AFG,Afghanistan,2017,11,2017-11-01,0.7868424050096036,0.04098512679610168,0.9590148732038983,0.7,0.65,0.791990680304816
AFG,Afghanistan,2017,12,2017-12-01,0.8240626279712202,0.04098512679610168,0.9590148732038983,0.7,0.65,0.8068787694894628
AFG,Afghanistan,2018,1,2018-01-01,0.8083097280327587,0.05510026130294569,0.9448997386970543,0.7,0.65,0.7970488258873671
AFG,Afghanistan,2018,2,2018-02-01,0.7864925818528838,0.05510026130294569,0.9448997386970543,0.7,0.65,0.7883219674154172
AFG,Afghanistan,2018,3,2018-03-01,0.8169629203171633,0.05510026130294569,0.9448997386970543,0.7,0.65,0.800510102801129
AFG,Afghanistan,2018,4,2018-04-01,0.8247355906603204,0.05510026130294569,0.9448997386970543,0.7,0.65,0.8036191709383917
AFG,Afghanistan,2018,5,2018-05-01,0.8459357651994519,0.05510026130294569,0.9448997386970543,0.7,0.65,0.8120992407540444
AFG,Afghanistan,2018,6,2018-06-01,0.8623083644752771,0.05510026130294569,0.9448997386970543,0.7,0.65,0.8186482804643744
AFG,Afghanistan,2018,7,2018-07-01,0.8564557040373142,0.05510026130294569,0.9448997386970543,0.7,0.65,0.8163072162891893
